SKU,IMAGE URL,TITLE,QUANTITY,"STATUS",DESCRIPTION,SAMPLE RETAIL PRICE,PRODUCT COST,MANUFACTURER,MANUFACTURER ID,MAIN CATEGORY,SUB CATEGORY,THUMBNAIL URL,WEIGHT,MAP PRICE,MSRP,UPC,ASIN,CUSTOM SHIPPING RATE,SHORT DESCRIPTION
"GS44217","http://www.inventorysource.com/images/gs/GS44217.jpg","Tetragon 7","17",Yes,"<b>Tetragon - Tetragon 7</b><br>Manufacture ID: 2628225<br><br>Features:
<br>                                                                                                                                  ***Does not include floor***<br><br>Warranty: Warranted against manufacturer defects.","429.9","291.0","Eureka!","2626300","Tents","Screen Houses","http://www.inventorysource.com/images/gs/t_GS37217.jpg","33.45","399.90","429.90","083826263002","","","Shelter/Screen Houses - Northern Breeze  Manufacture ID: 2626300    This 3 season, 4 pole square umbrella screen house features vertical side walls for maximum usable interior space, plus built-in wind curtains on all four sides that can double as awnings when extra space is needed. (One set of awning poles is included; additional sets can be purchased separately.) A picnic table will easily fit i",
"GS37251","http://www.inventorysource.com/images/gs/GS37251.jpg","Blue Mesa 1610 (3 Room)","0",No,"<b>Blue Mesa - Blue Mesa 1610 (3 Room)</b><br>Manufacture ID: 2628272<br><br>Like a second home for the lake or mountains!  This ultra-spacious 3 room, 3 season model (it sleeps 9) is extremely durable and easy to pitch.  2 removable roll-back dividers unzip to make one enormous shelter, or can be closed to create separate rooms for kids or privacy.  Hinged gear loft easily converts to a handy mesh organzier.
<br>
<br>Features:
<br>
<br>- Freestanding, 4-pole, quad-dome design, with self-supporting side rooms
<br>- 2 aluminum primary poles run entire 16' length providing strength, rigidity and stability
<br>- 3 side-opening, twin-track doors for easy entry, ease of operation
<br>- High/Low main door vents top to bottom aiding ventilation
<br>- Large areas of mesh on roof and large rear window maximize air flow
<br>- 75D StormShield Polyester fly improves durability and resistance to UV, acid rain and tearing
<br>- Heavy-duty 70D Nylon Taffeta bathtub floor minimizes seams and exposure to ground level water
<br>
<br>Specifications:
<br>
<br>- Weight:  22 lbs
<br>- Floor:  16' x 10'
<br>- Center Room:  7' x 10'
<br>- Height:  6' 2""
<br>- Sleeps:  9<br><br>Warranty: Warranted against manufacturer defects.","459.99","273.35","Eureka!","2628272","Tents","7+ Person Tents","http://www.inventorysource.com/images/gs/t_GS37251.jpg","27.95","0.00","459.99","083826282720","","","Blue Mesa - Blue Mesa 1610 (3 Room)  Manufacture ID: 2628272    Like a second home for the lake or mountains! This ultra-spacious 3 room, 3 season model (it sleeps 9) is extremely durable and easy to pitch. 2 removable roll-back dividers unzip to make one enormous shelter, or can be closed to create separate rooms for kids or privacy. Hinged gear loft easily converts to a handy mesh organzier.    ",
"GS40589","http://www.inventorysource.com/images/gs/GS40589.jpg","Montana Big Sky Tent","0",No,"<b>Tents - Montana Big Sky Family Tent</b><br>Manufacture ID: 9278A167<br><br>This huge family style tent gives you plenty of room, just like its namesake. It even comes with a welcome mat. Exclusive WeatherTec System Keeps you dry -- Guaranteed
<br>
<br>- 16 x 7 feet, 1 room
<br>- Sleeps seven
<br>- Center height: 75 inches
<br>- Mesh vent for increased ventilation
<br>- Rainfly covers door and windows
<br>- Shock-corded poles for easy and quick setup
<br>- Access gear or adjust ventilation with Cool-Air port
<br>- Heavy-duty welcome mat
<br>- Skylight, gear loft and two inside pockets for added storage
<br>- Easy-to-follow instructions sewn into carry bag
<br>- Separate storage bags for tents, poles and stakes
<br>- Three windows<br><br>Warranty: Limited warranty","132.99","94.23","Coleman","9278A167","Tents","Tents","http://www.inventorysource.com/images/gs/t_GS40589.jpg","25.0","0.00","132.99","076501007077","","","Tents - Montana Big Sky Family Tent  Manufacture ID: 9278A167    This huge family style tent gives you plenty of room, just like its namesake. It even comes with a welcome mat. Exclusive WeatherTec System Keeps you dry -- Guaranteed    - 16 x 7 feet, 1 room  - Sleeps seven  - Center height: 75 inches  - Mesh vent for increased ventilation  - Rainfly covers door and windows  - Shock-corded poles fo",
"GS40834","http://www.inventorysource.com/images/gs/GS40834.jpg","Tetragon 1610 (3 Room)","21",Yes,"<b>Tetragon - Tetragon 1610</b><br>Manufacture ID: 2628229<br><br>Use as 1 gigantic shelter or 3 separate rooms, each with its own entry!
<br>
<br>Features:
<br>
<br>- 4 pole rectangular dome tent with 2 side rooms
<br>- Durable shockcorded fiberglass frame and ring and pin attachments
<br>- Main twin track side opening door has protective overhead brim and zipper cover
<br>- Hanging gear loft and 2 interior storage pockets keep essential items handy
<br>- 4 vents enhance air circulation for added comfort
<br>- Convenient Storage bag
<br>
<br>Specifications:
<br>
<br>- Season:  3
<br>- Sleeps:  9
<br>- Doors:  3
<br>- Windows:  4
<br>- Weight:  18 lbs 7 oz
<br>- Area:  139.8 Sq. Ft.
<br>- Center Height:  6' 4""<br><br>Warranty: Warranted against manufacturer defects.","279.99","190.71","Eureka!","2628229","Tents","7+ Person Tents","http://www.inventorysource.com/images/gs/t_GS40834.jpg","22.55","0.00","279.99","083826282294","","","Tetragon - Tetragon 1610  Manufacture ID: 2628229    Use as 1 gigantic shelter or 3 separate rooms, each with its own entry!    Features:    - 4 pole rectangular dome tent with 2 side rooms  - Durable shockcorded fiberglass frame and ring and pin attachments  - Main twin track side opening door has protective overhead brim and zipper cover  - Hanging gear loft and 2 interior storage pockets keep e",
"GS37211","http://www.inventorysource.com/images/gs/GS37211.jpg","Timberline 4 Outfitter","0",No,"<b>Outfitter Tents - Timberline 4</b><br>Manufacture ID: 2601881<br><br>Ruggedly constructed, industrial-strength tents feature heavy duty materials for the most demanding use.  UV-resistant polyester ripstop flys with 1500mm coating, #10 zippers on doors, durable Nylon Oxford floors.  The 4 person classic design features 1/2""  aluminum frames.
<br>
<br>Features:
<br>
<br>- High/Low doors vent top and bottom to aid air circulation.  
<br>- Side-opening design for easy access
<br>- Shock-corded eaves increase stability and tear resistance in wind
<br>- Hooded fly front and rear allows windows to remain partly open during rain for ventilation
<br>- Twin-track zippers allow for independent operation of door and window for easy entry
<br>- #10 zippers on doors, #8 zippers on windows for years of trouble-free operation
<br>
<br>Specifications:
<br>
<br>Weight:  10 lbs 12 oz
<br>Floor:  7' 2"" x 8' 9""
<br>Height:  4' 10""<br><br>Warranty: Warranted against manufacturer defects.","319.99","184.93","Eureka!","2601881","Tents","4 Person Tents (Max)","http://www.inventorysource.com/images/gs/t_GS37211.jpg","12.6","0.00","319.99","083826018817","","","Outfitter Tents - Timberline 4  Manufacture ID: 2601881    Ruggedly constructed, industrial-strength tents feature heavy duty materials for the most demanding use. UV-resistant polyester ripstop flys with 1500mm coating, #10 zippers on doors, durable Nylon Oxford floors. The 4 personic design features 1/2"" aluminum frames.    Features:    - High/Low doors vent top and bottom to aid air circulation",
"GS37215","http://www.inventorysource.com/images/gs/GS37215.jpg","Condo","11",Yes,"<b>Luxury Family Tents - Condo</b><br>Manufacture ID: 2626156<br><br>Those who demand the ultimate luxury family tent can step into this giant 210 sq. ft. of living space.  Three room, 10'6"" x 20' footprint shelter with 3 doors and 10 windows, sleeps 8-12.  Massive windows fill the walls; patented High/Low venting doors, and zippered mesh ceiling panels maximize air flow for 3 season comfort.
<br>
<br>Features:
<br>
<br>- 75D StormShield Polyester fly improves durability and resistance to UV, acid rain, tearing
<br>- Heavy-duty 210D Nylon Oxford bathtub floor minimizes seams and exposure to ground level water
<br>- Divider panel clips in to create third area for dressing
<br>- Rain curtains with clear window panels zip into fly for total weather protection
<br>- Eureka! Hub, shockcorded eaves, clips, and ring & pin assemblies make set up quick and easy
<br>- Zippered roof panel controls air flow.  Clear UV and cold-resistant window in the fly is positioned over this panel for stargazing
<br>- Durable #10 zippers for trouble-free operation
<br>
<br>Specifications:
<br>
<br>- Weight:  50 lbs
<br>- Sleeping:  10' 6"" x 12'
<br>- Front:  10' 6"" x 7' 4""
<br>- Overall:  10' 6"" x 20'
<br>- Height:  8' 6""
<br>
<br>You will need 2 Square Medium floor savers for this tent.<br><br>Warranty: Warranted against manufacturer defects.","909.9","708.95","Eureka!","2626156","Tents","7+ Person Tents","http://www.inventorysource.com/images/gs/t_GS37215.jpg","70.0","879.90","909.90","083826261565","","","Luxury Family Tents - Condo  Manufacture ID: 2626156    Those who demand the ultimate luxury family tent can step into this giant 210 sq. ft. of living space. Three room, 10'6"" x 20' footprint shelter with 3 doors and 10 windows, sleeps 8-12. Massive windows fill the walls; patented High/Low venting doors, and zippered mesh ceiling panels maximize air flow for 3 season comfort.    Features:    - 7",
"GS40828","http://www.inventorysource.com/images/gs/GS40828.jpg","Pinnacle Pass 3XTA","0",No,"<b>Pinnacle Pass - Pinnacle Pass 3XTA</b><br>Manufacture ID: 2628102<br><br>Multi-purpose and compact with 2 mesh doors and 2 full coverage vestibules.
<br>
<br>Features:
<br>
<br>- 2 pole rectangular dome tent with 13.4 sq ft of vestibule storage
<br>- Durable, shockcorded, self-supporting frame is constructed of lightweight 7000 series aluminum
<br>- Ring and pin/pole pocket assembly makes set up fast and easy
<br>- Side opening door panels are constructed entirely of no-see-um mesh to maximize air flow inside
<br>- Poke-out vent in side wall allows the option of additional ventilation when needed 
<br>- 2 interior storage pockets keep essential items handy
<br>- Low impact colors
<br>
<br>Specifications:
<br>
<br>- Season:  3
<br>- Sleeps:  3
<br>- Doors:  2
<br>- Windows:  2
<br>- Weight:  5 lbs 15 oz
<br>- Area:  48.75 Sq. Ft.
<br>- Center Height:  4' 2""<br><br>Warranty: Warranted against manufacturer defects.","239.99","136.6","Eureka!","2628102","Tents","3 Person Tents (Max)","http://www.inventorysource.com/images/gs/t_GS40828.jpg","6.11","0.00","239.99","083826281020","","","Pinnacle Pass - Pinnacle Pass 3XTA  Manufacture ID: 2628102    Multi-purpose and compact with 2 mesh doors and 2 full coverage vestibules.    Features:    - 2 pole rectangular dome tent with 13.4 sq ft of vestibule storage  - Durable, shockcorded, self-supporting frame is constructed of lightweight 7000 series aluminum  - Ring and pin/pole pocket assembly makes set up fast and easy  - Side opening",
"GS40591","http://www.inventorysource.com/images/gs/GS40591.jpg","Dome Tent, Kids","0",No,"<b>Kids Tent - Kids Dome Tent</b><br>Manufacture ID: 9556-605K<br><br>6' x 5' - sleeps 2
<br>- Freestanding fiberglass frame
<br>- Durable nylon walls
<br>- Rugged, water-resistant floor
<br>- Rear window for added ventilation
<br>- Rainfly included<br><br>Warranty: Limited warranty","42.99","21.6","Coleman","9556-605K","Tents","2 Person Tents (Max)","http://www.inventorysource.com/images/gs/t_GS40591.jpg","6.0","0.00","42.99","076501621013","","","Kids Tent - Kids Dome Tent  Manufacture ID: 9556-605K    6' x 5' - sleeps 2  - Freestanding fiberglass frame  - Durable nylon walls  - Rugged, water-resistant floor  - Rear window for added ventilation  - Rainfly included    Warranty: Limited warranty",
"GS40616","http://www.inventorysource.com/images/gs/GS40616.jpg","Inyo Solo","0",No,"Ultralight, well ventilated shelter. Tall enough for a person to sit upright in and still allows 3"" of additional comfort.



- Large vestibule provides great storage space and additional airflow

- Dual poles for a sturdy structure

- Vented fly reduces condensation

- Color coded poles for easy assembly

- Includes lightweight aluminum pegs and drawstring storage bag

- View out window in vestibule

- Inner-tensioning canopy

- Floor area: 93.75"" x 39.75""

- Center height: 37.25""

- Pack weight 3.6 lbs

- Number of Rooms: 1

- Number of Doors: 1

- Number of Poles: 2<br><br>Warrenty: Limited warranty","59.66","56.82","Coleman","7504","Tents","1 Person Solo","http://www.inventorysource.com/images/gs/t_GS40616.jpg","4.15","0.00","89.99","076501599619","","","Ultralight, well ventilated shelter. Tall enough for a person to sit upright in and still allows 3"" of additional comfort.- Large vestibule provides great storage space and additional airflow- Dual poles for a sturdy structure- Vented fly reduces condensation- Color coded poles for easy assembly- Includes lightweight aluminum pegs and drawstring storage bag- View out window in vestibule- Inner-ten",
"GS37261","http://www.inventorysource.com/images/gs/GS37261.jpg","5th Season EXO","0",No,"<b>Four Season/Expedition Tents - 5th Season EXO</b><br>Manufacture ID: 2628904<br><br>Designed in conjunction with renowned expeditionist Eric Simonson of International Mountain Guides, this expedition-proven, self-supporting, 4 season tent has been rescaled to provide high camp comfort for 2, even when waiting out the weather for the perfect summit attempt.  Now longer, wider, and taller, it maintains its low and narrow profile for excellent performance in tight spots and windy conditions.  Its super-strong exoskeleton frame with color coded poles, super-tough gated carabiners, and post & grommet assembly speed set up, even with gloved hands.  A cold weather PU transparent vestibule window brightens the interior.  24-pocket organizer wall, 2 gear lofts and 1 flashlight loop aid storage. Conquer the elements.
<br>Freestanding, four-season tent provides high camp comfort for two in Everest-like conditions. Designed with renowned expeditionist Eric Simonson of International Mountain Guides.
<br>
<br>GENERAL FEATURES:
<br>- 5 pole rectangular dome tent with exoskeleton frame 
<br>- Super strong 11 mm DAC Press-fit 7000 series aluminum freestanding frame with color coded poles and super tough carabiners speed set up, even with gloved hands 
<br>- Post and grommet corner attachments make set up easy 
<br>- High/Low venting, side opening doors with twin- track zippers 
<br>- Low and narrow profile for excellent performance in tight spots and windy conditions 
<br>- Closeable scoop vents in fly have zippered access through tent roof 
<br>- Twin point front vestibule, single point rear vestibule 
<br>- Cold weather PU transparent vestibule window brightens interior 
<br>- Reflective web and logos for nighttime visibility 
<br>- Includes 24 pocket organizer wall, 2 gear lofts, and 1 flashlight loop 
<br>
<br>
<br>15 lbs 3 oz
<br>
<br>Dimensions:
<br>Floor: 5' 6"" x 8'
<br>Height: 3' 8""<br><br>Warranty: Warranted against manufacturer defects.","609.99","357.19","Eureka!","2628904","Tents","2 Person Tents (Max)","http://www.inventorysource.com/images/gs/t_GS37261.jpg","16.0","539.90","609.99","083826289040","","","Four Season/Expedition Tents - 5th Season EXO  Manufacture ID: 2628904    Designed in conjunction with renowned expeditionist Eric Simonson of International Mountain Guides, this expedition-proven, self-supporting, 4 season tent has been rescaled to provide high camp comfort for 2, even when waiting out the weather for the perfect summit attempt. Now longer, wider, and taller, it maintains its low",
"GS40835","http://www.inventorysource.com/images/gs/GS40835.jpg","Spitfire UL (Ultralight)","0",No,"<b>Solo Tents - Spitfire UL Ultralight</b><br>Manufacture ID: 2628316<br><br>Ultra-light, silicone-treated solo tent weighs just over 2 lbs and still has ample headroom inside.
<br>
<br>Features:
<br>
<br>- 1 pole solo tent 
<br>- Durable single hoop 8.84 mm DAC Featherlite frame, clips, and post and grommet corner attachments make set up fast 
<br>- Tent body is constructed entirely of no-see-um mesh to maximize air flow inside while keeping even the smallest insects outside 
<br>- Extra weather proof design features a bathtub floor that wraps up sides of tent, keeping seams high above the ground and water outside 
<br>- Poke-out vent in the fly is accessible via a zipper in the mesh roof cloth 
<br>- 2 interior storage pockets keep essential items handy 
<br>- Silicone-impregnated ripstop fabric provides superior water protection, is quick drying, and meets CPAI-84 F/R requirements 
<br>- Trapezoidal footbox shape at rear of tent mirrors sleeping bag bottom for plenty of foot room 
<br>
<br>Specifications:
<br>
<br>- Sleeps:  1 
<br>- Floor Size:  8'9"" x 3'5"" x 1'1"" 
<br>- Pack Size:  4"" x 21"" 
<br>- Min Weight:  2 lbs. 5 oz. 
<br>- Seasons:  3 
<br>- Tent Area:  17.33 sq. ft. 
<br>- Center Height:  3' 4""<br><br>Warranty: Warranted against manufacturer defects.","209.99","120.97","Eureka!","2628316","Tents","1 Person Solo","http://www.inventorysource.com/images/gs/t_GS40835.jpg","3.5","0.00","209.99","083826283161","","","Solo Tents - Spitfire UL Ultralight  Manufacture ID: 2628316    Ultra-light, silicone-treated solo tent weighs just over 2 lbs and still has ample headroom inside.    Features:    - 1 pole solo tent   - Durable single hoop 8.84 mm DAC Featherlite frame, clips, and post and grommet corner attachments make set up fast   - Tent body is constructed entirely of no-see-um mesh to maximize air flow insid",
"GS44216","http://www.inventorysource.com/images/gs/GS44216.jpg","Tetragon 5","7",Yes,"<b>Tetragon - Tetragon 5</b><br>Manufacture ID: 2628224<br><br>Features:
<br>
<br>- 2 pole rectangular dome tent
<br>- Durable shockcorded fiberglass frame, ring and pin attachments, and color coded webbing make set up fast
<br>- Brim over twin-track, side-opening door offers protected front entry; brimmed rear window allows ventilation during inclement weather
<br>- Bathtub floor protects against splashing rain
<br>- Hanging gear loft and 2 detachable interior storage pockets keep essential items handy; mesh panels allow for clip-in accessories
<br>
<br>Specifications:
<br>
<br>- Season:  3
<br>- Sleeps:  2
<br>- Doors:  1
<br>- Windows:  2
<br>- Weight:  5 lbs 3 oz
<br>- Area:  35 sq ft
<br>- Center Height:  4'","89.99","54.59","Eureka!","2628224","Tents","2 Person Tents (Max)","http://www.inventorysource.com/images/gs/t_GS44216.jpg","6.75","0.00","89.99","083826282249","","","Tetragon - Tetragon 5  Manufacture ID: 2628224    Features:    - 2 pole rectangular dome tent  - Durable shockcorded fiberglass frame, ring and pin attachments, and color coded webbing make set up fast  - Brim over twin-track, side-opening door offers protected front entry; brimmed rear window allows ventilation during inclement weather  - Bathtub floor protects against splashing rain  - Hanging g",
"GS40718","http://www.inventorysource.com/images/gs/GS40718.jpg","Omega Convertible (2007 Model)","0",No,"<b>Omega Convertible (2007 Model) - </b><br>Manufacture ID: 1332<br><br>A convertible, two-person tent that offers maximum versatility.  Using removable pole sections and a removable Stash Door, the Omega walks the line between a three- and four-season shelter.  This is a great tent for those looking for the widest range of uses, with four-season capability.
<br>
<br>Features:  Tent Guard with Ultra Fresh; CAD Design; DAC Featherlite SL Poles; Removable Stash Door; Removable Pole Sections; Shok-Certs; Clip-Locs; Swift Clips; Reflective Guy-outs and Zipper Pulls; Color-Coded Webbing; Locking Pole Tips; Optic White Canopy; Double Grommets; Interlocs; Gear Pockets.
<br>
<br>Trail Weight:  (3-Season) 6lbs 3 oz  (4-Season) 6 lbs 13 oz
<br>Fast Pack Weight:  (3-Season) 3 lbs 3 oz (4-Season) 4 lbs 6oz
<br>Packed Weight:  (3-Season) 6 lbs 15 oz (4-Season) 7lbs 9oz
<br>Number of Doors:  1
<br>Interior Area:  37 sq. ft.
<br>Vestibule Area:  12 sq. ft.
<br>Peak Height:  40.5""
<br>Floor Material:  70D PU Coated Nylon Taffeta 3000mm
<br>Body Material:  70D Nylon Rip Stop
<br>Fly Material:  70D PU Coated Nylon Taffeta 1500mm
<br>Poles:  DAC Featherlite SL 9.8mm<br><br>Warranty: Sierra Designs guarantees that the materials and workmanship in every product we make will stand up to the use for which it was designed.","299.0","204.02","Sierra Designs","1332","Tents","2 Person Tents (Max)","http://www.inventorysource.com/images/gs/t_GS40718.jpg","7.65","0.00","299.00","054003197311","","","Omega Convertible (2007 Model) -   Manufacture ID: 1332    A convertible, two-person tent that offers maximum versatility. Using removable pole sections and a removable Stash Door, the Omega walks the line between a three- and four-season shelter. This is a great tent for those looking for the widest range of uses, with four-season capability.    Features: Tent Guard with Ultra Fresh; CAD Design; ",
"GS40727","http://www.inventorysource.com/images/gs/GS40727.jpg","Reverse Combi w/DAC w/Footprint","0",No,"<b>3-Season Tents - Reverse Combi</b><br>Manufacture ID: 1387<br><br>Sierra Designs' blew 'em away with this one, winning ""Gear of the Year"" from Outside magazine for innovative design.  Variable-diameter poles with pre-bent sections steepen the RC's walls, creating more living space inside.  Freestanding, with dual doors and vestibules, the Reverse Combi is certainly one of the most comfortable, livable two-person tents on the market today.
<br>
<br>Features:  Fast Pack Footprint included; Portable Attic included; Coffee Sling included; Reverse Combi Technology; DAC Featherlite NSL Poles; Tent Guard with Ultra Fresh; SuperSeal Floor; Stash Door; Clip-Locs; Swift Clips; Reflective Guy-outs and Zipper Pulls; Color-Coded Webbing; Locking Pole Tips; Optic White Canopy; Double Grommets; Gear Pockets
<br>
<br>Trail Weight:  5 lbs 13 oz 
<br>Fast Pack Weight: 4 lbs 2oz
<br>Packed Weight:  6 lbs 3 oz
<br>Number of Doors:  2
<br>Interior Area:  32 sq. ft.
<br>Vestibule Area:  11 + 11 sq. ft.
<br>Peak Height:  40""
<br>Floor Material:  70D Nylon Taffeta 3000mm
<br>Body Material:  70D Nylon Rip Stop
<br>Fly Material:  70D Nylon Taffeta, 1500mm
